Date,Target,Avg temp,Sunshine_minutes,Rain_minutes,Voucher orders,Traffic,SEA Cost,SEA Clicks,Emails accepted,Emails open,Weekday_dinsdag,Weekday_donderdag,Weekday_maandag,Weekday_vrijdag,Weekday_woensdag,Weekday_zaterdag,Weekday_zondag,Spc dag pos aanloop_Broer en zussen dag,Spc dag pos aanloop_Kerst,Spc dag pos aanloop_Moederdag,Spc dag pos aanloop_Sinterklaas,Spc dag pos aanloop_Vaderdag,Spc dag pos aanloop_Valentijnsdag,Spc dag pos_1e kerstdag,Spc dag pos_2e kerstdag,Spc dag pos_Broer en zussen dag,Spc dag pos_Moederdag,Spc dag pos_Oudjaarsdag,Spc dag pos_Sinterklaas,Spc dag pos_Vaderdag,Spc dag pos_Valentijnsdag,Spc dag neg_1e Paasdag,Spc dag neg_1e Pinksterdag,Spc dag neg_2e Paasdag,Spc dag neg_2e Pinksterdag,Spc dag neg_Bevrijdingsdag,"Spc dag neg_Bevrijdingsdag, Hemelvaart",Spc dag neg_Goede vrijdag,Spc dag neg_Hemelvaart,Spc dag neg_Koninginnedag/Koningsdag,Spc dag neg_Nieuwjaarsdag
12-07-13,6966.0,14.0,258.0,0.0,7426.0,20761.0,2048.57,5555.0,1703.0,553.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-07-13,0.0,17.0,444.0,0.0,3558.0,12484.0,1458.45,3621.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-07-13,1169.0,17.0,288.0,0.0,5847.0,16032.0,1906.22,4787.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-07-13,1391.0,19.0,840.0,0.0,8242.0,20761.0,2093.99,5791.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-07-13,2284.0,20.0,486.0,0.0,7575.0,19984.0,1964.36,5717.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17-07-13,10964.0,21.0,348.0,0.0,7692.0,20630.0,1792.29,5560.0,118996.0,32762.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18-07-13,9773.0,21.0,876.0,0.0,8212.0,26877.0,1590.74,5082.0,703675.0,188971.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19-07-13,3261.0,21.0,846.0,0.0,7134.0,18677.0,1430.63,4580.0,7365.0,1893.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-07-13,23.0,18.0,264.0,0.0,3992.0,13264.0,1264.35,3497.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-07-13,6922.0,23.0,852.0,0.0,4803.0,13019.0,1172.77,3402.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-07-13,10967.0,25.0,672.0,0.0,7489.0,18604.0,1595.06,4992.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-07-13,12455.0,24.0,654.0,0.0,7345.0,18796.0,1624.66,5141.0,80595.0,21078.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24-07-13,14882.0,21.0,336.0,0.0,11016.0,30848.0,1906.88,5630.0,745510.0,197942.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-07-13,14354.0,21.0,552.0,0.0,7787.0,20885.0,1704.69,5280.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-07-13,15776.0,22.0,186.0,66.0,7568.0,20358.0,1598.11,4841.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-07-13,0.0,21.0,348.0,216.0,4325.0,14771.0,1365.38,3712.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-07-13,13505.0,20.0,378.0,36.0,6389.0,18340.0,1549.28,4565.0,117415.0,31266.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
